dtype,d,seq_len,impl,fwd_ms,bwd_ms,e2e_ms
bfloat16,32,128,triton_flash,0.009724904783070087,0.6880407435819507,0.6977656483650208
bfloat16,32,256,pytorch,0.12406639009714127,0.5154918059706688,0.6395581960678101
bfloat16,32,256,triton_flash,0.011119954288005829,0.726523645222187,0.7376435995101929
bfloat16,32,512,pytorch,0.136015385389328,0.4990067183971405,0.6350221037864685
bfloat16,32,512,triton_flash,0.014299283735454082,0.7058156030252576,0.7201148867607117
bfloat16,32,1024,pytorch,0.1360682100057602,0.519484356045723,0.6555525660514832
bfloat16,32,1024,triton_flash,0.02039397694170475,0.7169098164886236,0.7373037934303284
bfloat16,32,2048,pytorch,0.1369975209236145,0.4935304522514343,0.6305279731750488
bfloat16,32,2048,triton_flash,0.034046389162540436,0.6962083801627159,0.7302547693252563
bfloat16,32,4096,pytorch,0.37971213459968567,0.424212783575058,0.8039249181747437
bfloat16,32,4096,triton_flash,0.06118820980191231,0.6868196837604046,0.7480078935623169
bfloat16,32,8192,pytorch,1.27370023727417,1.5661463737487793,2.839846611022949
bfloat16,32,8192,triton_flash,0.16339819133281708,1.8648579865694046,2.0282561779022217
bfloat16,32,16384,pytorch,4.763161659240723,6.127760887145996,10.890922546386719
bfloat16,32,16384,triton_flash,0.457584023475647,7.265423655509949,7.723007678985596
bfloat16,32,32768,pytorch,18.752717971801758,25.137460708618164,43.89017868041992
bfloat16,32,32768,triton_flash,1.4546339511871338,28.55010199546814,30.004735946655273
bfloat16,32,65536,pytorch,81.31942749023438,,
bfloat16,32,65536,triton_flash,5.500489234924316,,
bfloat16,64,128,pytorch,0.12202516943216324,0.5286194309592247,0.6506446003913879
bfloat16,64,128,triton_flash,0.01123123150318861,0.6899659158661962,0.7011971473693848
bfloat16,64,256,pytorch,0.12677983939647675,0.5092562586069107,0.6360360980033875
bfloat16,64,256,triton_flash,0.013002940453588963,0.7110446011647582,0.7240475416183472
bfloat16,64,512,pytorch,0.12693709135055542,0.5119546055793762,0.6388916969299316
bfloat16,64,512,triton_flash,0.018755920231342316,0.7090413495898247,0.727797269821167
bfloat16,64,1024,pytorch,0.12441147863864899,0.5012811869382858,0.6256926655769348
bfloat16,64,1024,triton_flash,0.029328707605600357,0.7002786956727505,0.7296074032783508
bfloat16,64,2048,pytorch,0.1312282681465149,0.49995213747024536,0.6311804056167603
bfloat16,64,2048,triton_flash,0.05081166326999664,0.6975466459989548,0.7483583092689514
bfloat16,64,4096,pytorch,0.3881649076938629,0.43819281458854675,0.8263577222824097
bfloat16,64,4096,triton_flash,0.09388783574104309,0.7349584400653839,0.828846275806427
bfloat16,64,8192,pytorch,1.3175185918807983,1.611681580543518,2.9292001724243164
bfloat16,64,8192,triton_flash,0.25424426794052124,2.7295268177986145,2.9837710857391357
bfloat16,64,16384,pytorch,4.852447032928467,6.232293605804443,11.08474063873291
bfloat16,64,16384,triton_flash,0.6809776425361633,10.348224818706512,11.029202461242676
bfloat16,64,32768,pytorch,19.179828643798828,25.648845672607422,44.82867431640625
bfloat16,64,32768,triton_flash,2.2446329593658447,39.73476004600525,41.979393005371094
bfloat16,64,65536,pytorch,82.95680236816406,,
bfloat16,64,65536,triton_flash,8.716426849365234,,
bfloat16,128,128,pytorch,0.12723277509212494,0.5115050226449966,0.6387377977371216
bfloat16,128,128,triton_flash,0.01540232915431261,0.6653519151732326,0.6807542443275452
